Construct,Item,Angepasstes_Item
Treatment Check,"Ist Ihnen die Einschätzung zur Antwortsicherheit bzw. Antwortunsicherheit bei Chat-Antworten aufgefallen?","Haben Sie die Bewertung zur Antwortsicherheit- und Unsicherheit in den Antworten wahrgenommen?"
PUF,"Der Einsatz von künstlicher Intelligenz verbessert meine Arbeit","Der Einsatz von Alva verbessert meine Arbeit."
PUF,"Der Einsatz von künstlicher Intelligenz steigert meine Effektivität","Der Einsatz von Alva steigert meine Effektivität."
PUF,"Durch den Einsatz von künstlicher Intelligenz bin ich produktiver","Durch den Einsatz von Alva bin ich produktiver."
PUF,"Künstliche Intelligenz ist bei meiner Arbeit ein nützliches Tool.","Alva ist bei meiner Aufgabe ein nützliches Tool"
EOU,"Künstliche Intelligenz so anzuwenden, wie ich es brauche, fällt mir leicht.","Alva so anzuwenden, wie ich es brauche, fällt mir leicht"
EOU,"Beim Einsatz von künstlicher Intelligenz muss ich nicht lange nachdenken.","Beim Einsatz von Alva muss ich nicht lange nachdenken"
EOU,"Ich gehe mit künstlicher Intelligenz geradlinig und klar um.","Ich gehe mit Alva geradlinig und klar um."
EOU,"Künstliche Intelligenz nutze ich ganz unbekümmert.","Alva nutze ich ganz unbekümmert"
BI,"Ich will künstliche Intelligenz in der Zukunft nutzen.","-"
BI,"Ich bemühe mich, die Nutzung künstlicher Intelligenz auf das sinnvolle zu begrenzen.","-"
BI,"Künstliche Intelligenz soll bei mir in der Zukunft häufiger zum Einsatz kommen.","-"
BI,"Die Nutzung künstlicher Intelligenz werde ich künftig noch auf weitere Bereiche ausdehnen.","-"
XAIT,"Ich habe Angst vor künstlicher Intelligenz.","-"
XAIT,"Ich vertraue künstlicher Intelligenz.","-"
XAIT,"Künstliche Intelligenz wird die Menschheit zerstören.","-"
XAIT,"Künstliche Intelligenz wird eine Bereicherung für die Menschheit sein.","-"
XAIT,"Künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen.","-"
FAM-TEC,"I know a lot about Gen-AI","Ich weiss viel über KI-Systeme wie ChatGPT, Copilot oder Gemini"
FAM-TEC,"I am familiar with Gen-AI","Ich bin vertraut mit KI-Systemen wie ChatGPT, Copilot oder Gemini"
FAM-TEC,"I have much knowledge about Gen-AI","Ich habe viel Wissen über KI-Systeme wie ChatGPT, Copilot oder Gemini"
FAM-TEC,"I know how to interact with Gen-AI","Ich weiss, wie man mit KI-Systemen wie ChatGPT, Copilot oder Gemini interagiert"
CI,"The system is accurate","Alva ist genau in Chat-Antworten"
CI,"The system is dependable","Alvas Chat-Antworten sind zuverlässig"
CI,"The system makes few errors","Alva macht wenig Fehler"
CI,"The interaction with the system is consistent","Die Interaktion mit Alva ist konsistent"
CI,"The interaction with the system is efficient","Die Interaktion mit Alva ist effizient"
