Construct,Item_Original,Item_Adapted,Scaling,Source
Treatment Check,Ist Ihnen die Einschätzung zur Antwortsicherheit bzw. Antwortunsicherheit bei Chat-Antworten aufgefallen?,Haben Sie die Bewertung zur Antwortsicherheit- und Unsicherheit in den Antworten wahrgenommen?,j/n (boolean),-
PUF,Der Einsatz von künstlicher Intelligenz verbessert meine Arbeit,Der Einsatz von Alva verbessert meine Arbeit.,1-5 Likert-Skala,Ibrahim et al. (2025)
PUF,Der Einsatz von künstlicher Intelligenz steigert meine Effektivität,Der Einsatz von Alva steigert meine Effektivität.,1-5 Likert-Skala,Ibrahim et al. (2025)
PUF,Durch den Einsatz von künstlicher Intelligenz bin ich produktiver,Durch den Einsatz von Alva bin ich produktiver.,1-5 Likert-Skala,Ibrahim et al. (2025)
PUF,Künstliche Intelligenz ist bei meiner Arbeit ein nützliches Tool.,Alva ist bei meiner Aufgabe ein nützliches Tool,1-5 Likert-Skala,Ibrahim et al. (2025)
EOU,Künstliche Intelligenz so anzuwenden, wie ich es brauche, fällt mir leicht.,Alva so anzuwenden, wie ich es brauche, fällt mir leicht,1-5 Likert-Skala,Ibrahim et al. (2025)
EOU,Beim Einsatz von künstlicher Intelligenz muss ich nicht lange nachdenken.,Beim Einsatz von Alva muss ich nicht lange nachdenken,1-5 Likert-Skala,Ibrahim et al. (2025)
EOU,Ich gehe mit künstlicher Intelligenz geradlinig und klar um.,Ich gehe mit Alva geradlinig und klar um.,1-5 Likert-Skala,Ibrahim et al. (2025)
EOU,Künstliche Intelligenz nutze ich ganz unbekümmert.,Alva nutze ich ganz unbekümmert,1-5 Likert-Skala,Ibrahim et al. (2025)
BI,Ich will künstliche Intelligenz in der Zukunft nutzen.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
BI,Ich bemühe mich, die Nutzung künstlicher Intelligenz auf das sinnvolle zu begrenzen.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
BI,Künstliche Intelligenz soll bei mir in der Zukunft häufiger zum Einsatz kommen.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
BI,Die Nutzung künstlicher Intelligenz werde ich künftig noch auf weitere Bereiche ausdehnen.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
XAIT,Ich habe Angst vor künstlicher Intelligenz.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
XAIT,Ich vertraue künstlicher Intelligenz.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
XAIT,Künstliche Intelligenz wird die Menschheit zerstören.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
XAIT,Künstliche Intelligenz wird eine Bereicherung für die Menschheit sein.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
XAIT,Künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen.,-,1-5 Likert-Skala,Ibrahim et al. (2025)
FAM-TEC,I know a lot about Gen-AI,Ich weiss viel über KI-Systeme wie ChatGPT, Copilot oder Gemini,1-5 Likert-Skala,Topsakal (2025)
FAM-TEC,I am familiar with Gen-AI,Ich bin vertraut mit KI-Systemen wie ChatGPT, Copilot oder Gemini,1-5 Likert-Skala,Topsakal (2025)
FAM-TEC,I have much knowledge about Gen-AI,Ich habe viel Wissen über KI-Systeme wie ChatGPT, Copilot oder Gemini,1-5 Likert-Skala,Topsakal (2025)
FAM-TEC,I know how to interact with Gen-AI,Ich weiss, wie man mit KI-Systemen wie ChatGPT, Copilot oder Gemini interagiert,1-5 Likert-Skala,Topsakal (2025)
CI,The system is accurate,Alva ist genau in Chat-Antworten,1-5 Likert-Skala,Grassi et al. (2022)
CI,The system is dependable,Alvas Chat-Antworten sind zuverlässig,1-5 Likert-Skala,Grassi et al. (2022)
CI,The system makes few errors,Alva macht wenig Fehler,1-5 Likert-Skala,Grassi et al. (2022)
CI,The interaction with the system is consistent,Die Interaktion mit Alva ist konsistent,1-5 Likert-Skala,Grassi et al. (2022)
CI,The interaction with the system is efficient,Die Interaktion mit Alva ist effizient,1-5 Likert-Skala,Grassi et al. (2022)
